image_path,group,group_source,label,meaning,class_id
F:\25-26 kì 2\chuyên đề thầy Thành\TrafficSignsProject\dataset_aug\Information Signs\I.401\1.png,chỉ dẫn,Information Signs,I.401,,0
F:\25-26 kì 2\chuyên đề thầy Thành\TrafficSignsProject\dataset_aug\Information Signs\I.401\1_shear_5deg.png,chỉ dẫn,Information Signs,I.401,,0
F:\25-26 kì 2\chuyên đề thầy Thành\TrafficSignsProject\dataset_aug\Information Signs\I.401\1_shear_m5deg.png,chỉ dẫn,Information Signs,I.401,,0
F:\25-26 kì 2\chuyên đề thầy Thành\TrafficSignsProject\dataset_aug\Information Signs\I.402\1.png,chỉ dẫn,Information Signs,I.402,,1
F:\25-26 kì 2\chuyên đề thầy Thành\TrafficSignsProject\dataset_aug\Information Signs\I.402\1_shear_5deg.png,chỉ dẫn,Information Signs,I.402,,1
F:\25-26 kì 2\chuyên đề thầy Thành\TrafficSignsProject\dataset_aug\Information Signs\I.402\1_shear_m5deg.png,chỉ dẫn,Information Signs,I.402,,1
F:\25-26 kì 2\chuyên đề thầy Thành\TrafficSignsProject\dataset_aug\Information Signs\I.405a\1.png,chỉ dẫn,Information Signs,I.405a,,2
F:\25-26 kì 2\chuyên đề thầy Thành\TrafficSignsProject\dataset_aug\Information Signs\I.405a\1_shear_5deg.png,chỉ dẫn,Information Signs,I.405a,,2
F:\25-26 kì 2\chuyên đề thầy Thành\TrafficSignsProject\dataset_aug\Information Signs\I.405a\1_shear_m5deg.png,chỉ dẫn,Information Signs,I.405a,,2
F:\25-26 kì 2\chuyên đề thầy Thành\TrafficSignsProject\dataset_aug\Information Signs\I.405b\1.png,chỉ dẫn,Information Signs,I.405b,,3
F:\25-26 kì 2\chuyên đề thầy Thành\TrafficSignsProject\dataset_aug\Information Signs\I.405b\1_shear_5deg.png,chỉ dẫn,Information Signs,I.405b,,3
F:\25-26 kì 2\chuyên đề thầy Thành\TrafficSignsProject\dataset_aug\Information Signs\I.405b\1_shear_m5deg.png,chỉ dẫn,Information Signs,I.405b,,3
F:\25-26 kì 2\chuyên đề thầy Thành\TrafficSignsProject\dataset_aug\Information Signs\I.405c\1.png,chỉ dẫn,Information Signs,I.405c,,4
F:\25-26 kì 2\chuyên đề thầy Thành\TrafficSignsProject\dataset_aug\Information Signs\I.405c\1_shear_5deg.png,chỉ dẫn,Information Signs,I.405c,,4
F:\25-26 kì 2\chuyên đề thầy Thành\TrafficSignsProject\dataset_aug\Information Signs\I.405c\1_shear_m5deg.png,chỉ dẫn,Information Signs,I.405c,,4
F:\25-26 kì 2\chuyên đề thầy Thành\TrafficSignsProject\dataset_aug\Information Signs\I.406\1.png,chỉ dẫn,Information Signs,I.406,,5
F:\25-26 kì 2\chuyên đề thầy Thành\TrafficSignsProject\dataset_aug\Information Signs\I.406\1_shear_5deg.png,chỉ dẫn,Information Signs,I.406,,5
F:\25-26 kì 2\chuyên đề thầy Thành\TrafficSignsProject\dataset_aug\Information Signs\I.406\1_shear_m5deg.png,chỉ dẫn,Information Signs,I.406,,5
F:\25-26 kì 2\chuyên đề thầy Thành\TrafficSignsProject\dataset_aug\Information Signs\I.407a\1.png,chỉ dẫn,Information Signs,I.407a,,6
F:\25-26 kì 2\chuyên đề thầy Thành\TrafficSignsProject\dataset_aug\Information Signs\I.407a\1_shear_5deg.png,chỉ dẫn,Information Signs,I.407a,,6
F:\25-26 kì 2\chuyên đề thầy Thành\TrafficSignsProject\dataset_aug\Information Signs\I.407a\1_shear_m5deg.png,chỉ dẫn,Information Signs,I.407a,,6
F:\25-26 kì 2\chuyên đề thầy Thành\TrafficSignsProject\dataset_aug\Information Signs\I.407b\1.png,chỉ dẫn,Information Signs,I.407b,,7
F:\25-26 kì 2\chuyên đề thầy Thành\TrafficSignsProject\dataset_aug\Information Signs\I.407b\1_shear_5deg.png,chỉ dẫn,Information Signs,I.407b,,7
F:\25-26 kì 2\chuyên đề thầy Thành\TrafficSignsProject\dataset_aug\Information Signs\I.407b\1_shear_m5deg.png,chỉ dẫn,Information Signs,I.407b,,7
F:\25-26 kì 2\chuyên đề thầy Thành\TrafficSignsProject\dataset_aug\Information Signs\I.407c\1.png,chỉ dẫn,Information Signs,I.407c,,8
F:\25-26 kì 2\chuyên đề thầy Thành\TrafficSignsProject\dataset_aug\Information Signs\I.407c\1_shear_5deg.png,chỉ dẫn,Information Signs,I.407c,,8
F:\25-26 kì 2\chuyên đề thầy Thành\TrafficSignsProject\dataset_aug\Information Signs\I.407c\1_shear_m5deg.png,chỉ dẫn,Information Signs,I.407c,,8
F:\25-26 kì 2\chuyên đề thầy Thành\TrafficSignsProject\dataset_aug\Information Signs\I.408\1.png,chỉ dẫn,Information Signs,I.408,,9
F:\25-26 kì 2\chuyên đề thầy Thành\TrafficSignsProject\dataset_aug\Information Signs\I.408\1_shear_5deg.png,chỉ dẫn,Information Signs,I.408,,9
F:\25-26 kì 2\chuyên đề thầy Thành\TrafficSignsProject\dataset_aug\Information Signs\I.408\1_shear_m5deg.png,chỉ dẫn,Information Signs,I.408,,9
F:\25-26 kì 2\chuyên đề thầy Thành\TrafficSignsProject\dataset_aug\Information Signs\I.408a\1.png,chỉ dẫn,Information Signs,I.408a,,10
F:\25-26 kì 2\chuyên đề thầy Thành\TrafficSignsProject\dataset_aug\Information Signs\I.408a\1_shear_5deg.png,chỉ dẫn,Information Signs,I.408a,,10
F:\25-26 kì 2\chuyên đề thầy Thành\TrafficSignsProject\dataset_aug\Information Signs\I.408a\1_shear_m5deg.png,chỉ dẫn,Information Signs,I.408a,,10
F:\25-26 kì 2\chuyên đề thầy Thành\TrafficSignsProject\dataset_aug\Information Signs\I.409\1.png,chỉ dẫn,Information Signs,I.409,,11
F:\25-26 kì 2\chuyên đề thầy Thành\TrafficSignsProject\dataset_aug\Information Signs\I.409\1_shear_5deg.png,chỉ dẫn,Information Signs,I.409,,11
F:\25-26 kì 2\chuyên đề thầy Thành\TrafficSignsProject\dataset_aug\Information Signs\I.409\1_shear_m5deg.png,chỉ dẫn,Information Signs,I.409,,11
F:\25-26 kì 2\chuyên đề thầy Thành\TrafficSignsProject\dataset_aug\Information Signs\I.410\1.png,chỉ dẫn,Information Signs,I.410,,12
F:\25-26 kì 2\chuyên đề thầy Thành\TrafficSignsProject\dataset_aug\Information Signs\I.410\1_shear_5deg.png,chỉ dẫn,Information Signs,I.410,,12
F:\25-26 kì 2\chuyên đề thầy Thành\TrafficSignsProject\dataset_aug\Information Signs\I.410\1_shear_m5deg.png,chỉ dẫn,Information Signs,I.410,,12
F:\25-26 kì 2\chuyên đề thầy Thành\TrafficSignsProject\dataset_aug\Information Signs\I.413a\1.png,chỉ dẫn,Information Signs,I.413a,,13
F:\25-26 kì 2\chuyên đề thầy Thành\TrafficSignsProject\dataset_aug\Information Signs\I.413a\1_shear_5deg.png,chỉ dẫn,Information Signs,I.413a,,13
F:\25-26 kì 2\chuyên đề thầy Thành\TrafficSignsProject\dataset_aug\Information Signs\I.413a\1_shear_m5deg.png,chỉ dẫn,Information Signs,I.413a,,13
F:\25-26 kì 2\chuyên đề thầy Thành\TrafficSignsProject\dataset_aug\Information Signs\I.413b\1.png,chỉ dẫn,Information Signs,I.413b,,14
F:\25-26 kì 2\chuyên đề thầy Thành\TrafficSignsProject\dataset_aug\Information Signs\I.413b\1_shear_5deg.png,chỉ dẫn,Information Signs,I.413b,,14
F:\25-26 kì 2\chuyên đề thầy Thành\TrafficSignsProject\dataset_aug\Information Signs\I.413b\1_shear_m5deg.png,chỉ dẫn,Information Signs,I.413b,,14
F:\25-26 kì 2\chuyên đề thầy Thành\TrafficSignsProject\dataset_aug\Information Signs\I.413c\1.png,chỉ dẫn,Information Signs,I.413c,,15
F:\25-26 kì 2\chuyên đề thầy Thành\TrafficSignsProject\dataset_aug\Information Signs\I.413c\1_shear_5deg.png,chỉ dẫn,Information Signs,I.413c,,15
F:\25-26 kì 2\chuyên đề thầy Thành\TrafficSignsProject\dataset_aug\Information Signs\I.413c\1_shear_m5deg.png,chỉ dẫn,Information Signs,I.413c,,15
F:\25-26 kì 2\chuyên đề thầy Thành\TrafficSignsProject\dataset_aug\Information Signs\I.414a\1.png,chỉ dẫn,Information Signs,I.414a,,16
F:\25-26 kì 2\chuyên đề thầy Thành\TrafficSignsProject\dataset_aug\Information Signs\I.414a\1_shear_5deg.png,chỉ dẫn,Information Signs,I.414a,,16
F:\25-26 kì 2\chuyên đề thầy Thành\TrafficSignsProject\dataset_aug\Information Signs\I.414a\1_shear_m5deg.png,chỉ dẫn,Information Signs,I.414a,,16
F:\25-26 kì 2\chuyên đề thầy Thành\TrafficSignsProject\dataset_aug\Information Signs\I.414b\1.png,chỉ dẫn,Information Signs,I.414b,,17
F:\25-26 kì 2\chuyên đề thầy Thành\TrafficSignsProject\dataset_aug\Information Signs\I.414b\1_shear_5deg.png,chỉ dẫn,Information Signs,I.414b,,17
F:\25-26 kì 2\chuyên đề thầy Thành\TrafficSignsProject\dataset_aug\Information Signs\I.414b\1_shear_m5deg.png,chỉ dẫn,Information Signs,I.414b,,17
F:\25-26 kì 2\chuyên đề thầy Thành\TrafficSignsProject\dataset_aug\Information Signs\I.414c\1.png,chỉ dẫn,Information Signs,I.414c,,18
F:\25-26 kì 2\chuyên đề thầy Thành\TrafficSignsProject\dataset_aug\Information Signs\I.414c\1_shear_5deg.png,chỉ dẫn,Information Signs,I.414c,,18
